2	ok	3	
5	ok	3	
7	ok	3	
3	ok	3	
4	ok	3	
8	ok	3	
6	ok	3	
10	ok	3	
9	ok	3	
1	ok	3	
13	ok	3	
11	ok	3	
12	ok	3	
19	ok	3	
17	ok	3	
14	ok	3	
15	ok	3	
16	ok	3	
18	ok	3	
21	ok	3	
20	ok	3	
23	ok	3	
22	ok	3	
24	ok	3	
25	ok	3	
26	ok	3	
27	ok	3	
29	ok	3	
28	ok	3	
31	ok	3	
30	ok	3	
32	ok	3	
35	ok	3	
33	ok	3	
34	ok	3	
36	ok	3	
37	ok	3	
38	ok	3	
39	ok	3	
40	ok	3	
42	ok	3	
44	ok	3	
43	ok	3	
41	ok	3	
45	ok	3	
46	ok	3	
47	ok	3	
50	ok	3	
48	ok	3	
49	ok	3	
53	ok	3	
51	ok	3	
54	ok	3	
52	ok	3	
55	ok	3	
56	ok	3	
57	ok	3	
59	ok	3	
58	ok	3	
60	ok	3	
61	ok	3	
63	ok	3	
62	ok	3	
64	ok	3	
65	ok	3	
66	ok	3	
67	ok	3	
68	ok	3	
73	ok	3	
69	ok	3	
72	ok	3	
70	ok	3	
71	ok	3	
75	ok	3	
76	ok	3	
74	ok	3	
77	ok	3	
78	ok	3	
80	ok	3	
79	ok	3	
81	ok	3	
82	ok	3	
83	ok	3	
84	ok	3	
86	ok	3	
85	ok	3	
89	ok	3	
87	ok	3	
91	ok	3	
90	ok	3	
93	ok	3	
92	ok	3	
94	ok	3	
96	ok	3	
95	ok	3	
97	ok	3	
100	ok	3	
99	ok	3	
98	ok	3	
101	ok	3	
102	ok	3	
103	ok	3	
104	ok	3	
105	ok	3	
106	ok	3	
107	ok	3	
108	ok	3	
109	ok	3	
